config_name,model,technique,N,top1_accuracy,f1_Joy,f1_Fear,f1_Sadness,f1_Anger,f1_Trust,f1_Surprise,f1_Anticipation,caveat
lexicon_15,GPT-2 Large + LoRA r32,"LoRA + lexical steering (b=5.0), lexicon tier 15",160,38.12,0.7368,0.7273,0.8108,0.4,0.2667,0.24,0.2609,"tier 15 is the full published lexicon, which holds 13 to 15 words per emotion (mean 14.25), not a uniform 15"
lexicon_10,GPT-2 Large + LoRA r32,"LoRA + lexical steering (b=5.0), lexicon tier 10",160,38.75,0.7727,0.8421,0.6667,0.3673,0.2963,0.2308,0.1818,
decoding_topp,GPT-2 Large + LoRA r32,"LoRA + lexical steering (b=5.0), topp decoding",160,38.12,0.7368,0.7273,0.8108,0.4,0.2667,0.24,0.2609,"NOISE FLOOR PAIR: this row and rank_32 are INDEPENDENT RETRAININGS of the same production configuration, differing only in random init (production never seeded, run_rank_sweep does). Their 3.13-point difference (41.25 vs 38.12) is the measured retraining noise floor. Both rows are deliberate, NOT a duplicate to be removed."
decoding_topk,GPT-2 Large + LoRA r32,"LoRA + lexical steering (b=5.0), topk decoding",160,36.25,0.6061,0.7895,0.6111,0.4528,0.25,0.3333,0.1667,
lexicon_5,GPT-2 Large + LoRA r32,"LoRA + lexical steering (b=5.0), lexicon tier 5",160,22.5,0.5,0.5,0.3448,0.2979,0.16,0.1481,0.1739,
decoding_greedy,GPT-2 Large + LoRA r32,"LoRA + lexical steering (b=5.0), greedy decoding",160,44.38,0.6977,0.8571,0.9,0.4815,0.2857,0.2759,0.1667,"greedy decoding is deterministic, so each of the 160 rows is a distinct prompt but repeat runs are identical"
beta_1,GPT-2 Large + LoRA r32,LoRA + lexical steering (b=1),160,11.88,0.3571,0.32,0.0714,0.2609,0.1429,0.069,0.0,replaces the hardcoded 13.12 proxy previously used for b=1 in fig4
beta_15,GPT-2 Large + LoRA r32,LoRA + lexical steering (b=15),160,18.12,0.6667,0.1818,0.6452,0.2222,0.1739,0.0,0.0,
baseline_qwen,"Qwen2.5-1.5B-Instruct (4-bit, no fine-tuning)","prompting only, no fine-tuning, no steering",160,21.88,0.4583,0.5,0.5806,0.0952,0.0741,0.32,0.0,"unassisted baseline, equal generation budget (60 tokens)"
baseline_phi3,"Phi-3-mini-4k-instruct (4-bit, no fine-tuning)","prompting only, no fine-tuning, no steering",160,25.62,0.4651,0.5143,0.5946,0.1395,0.2143,0.4,0.0,"unassisted baseline, equal generation budget (60 tokens)"
baseline_pplm,gpt2-large + PPLM,PPLM gradient-based CTG,160,35.62,0.7895,0.75,0.7059,0.4,0.0909,0.4444,0.0952,"peak 3.66 GiB, 56.4 s/story re-confirmed this session over 20 stories (originally 56.9 over 160, 0.9% drift). Versus our hybrid at 12.37 s/story: PPLM is 4.6x SLOWER but uses LESS peak VRAM (3.66 vs 4.03 GiB)."
rank_32,GPT-2 Large + LoRA r32,"LoRA + lexical steering (b=5.0), LoRA rank 32, alpha 64",160,41.25,0.7895,0.8235,0.7647,0.4314,0.3226,0.3333,0.3077,"NOISE FLOOR PAIR: this row and decoding_topp are INDEPENDENT RETRAININGS of the same production configuration, differing only in random init (production never seeded, run_rank_sweep does). Their 3.13-point difference (41.25 vs 38.12) is the measured retraining noise floor. Both rows are deliberate, NOT a duplicate to be removed. rank swept at fixed alpha=64 matching production, so effective scaling alpha/rank = 2. lm_head and wte are trained in full at every rank (about 128.6M params), so total trainable capacity varies only 1.66x across the sweep while rank varies 16x. Supports a claim about LoRA rank specifically, not about adapter capacity in general."
rank_8,GPT-2 Large + LoRA r8,"LoRA + lexical steering (b=5.0), LoRA rank 8, alpha 64",160,35.62,0.6829,0.625,0.7222,0.36,0.2759,0.2963,0.2609,"rank swept at fixed alpha=64 matching production, so effective scaling alpha/rank = 8. lm_head and wte are trained in full at every rank (about 128.6M params), so total trainable capacity varies only 1.66x across the sweep while rank varies 16x. Supports a claim about LoRA rank specifically, not about adapter capacity in general."
hybrid_timed,GPT-2 Large + LoRA r32,"LoRA + lexical steering (b=5.0), top-p, production config, latency timed",160,38.12,0.7368,0.7273,0.8108,0.4,0.2667,0.24,0.2609,"LATENCY RUN, not an independent draw. Byte-identical to decoding_topp (same production adapter, same per-row seeds, so generation is deterministic): identical stories, identical detections, identical F1. It does NOT extend the noise floor, which still rests on the two retrainings decoding_topp 38.12 and rank_32 41.25. Its value is the measurement: 12.37 s/story generation-only, peak 4.03 GiB. It also demonstrates exact reproducibility across processes and days."
