Target,Detected,Story
Joy,Trust,"The brassy ring of the bell tinkled as I walked down the aisle. My beautiful fiancée, Amanda, was excited to see me off and smile at my beautiful smile. She looked beautiful in a bright light, sun kissed by the setting sun. 
 
 `` You look wonderful today,'' she said excitedly."
Joy,Joy,"The recruiter waited inside the small office, nervously tapping away at his phone. He was excited to meet someone new and excited about what he could do for them. 
 
 `` Hello?'' a bright light shone through the window as the door opened. A beautiful young woman with bright brown hair walked in. She wore bright"
Joy,Joy,"Three men of different species sat at a table, talking excitedly about the wonderful world that was to come. 
 
 `` We have found an entire planet!'' said one man excitedly. 
 
 `` Wow,'' replied another excitedly. `` This is amazing.'' 
 
 The third man shook"
Joy,Joy,"As a rule, they are always happy. 
 
 They smile at you as if it's the most wonderful thing in the world. You love them for that smile and love for life. It brightens your day when happy people smile at you. 
 
 But sometimes happy people get sad too. Sometimes happy people"
Joy,Joy,"Charon had spent almost exactly half his life searching for the Fountain of Youth. He was happy to find it, but he knew that finding it would mean a lot more than just being happy. 
 
 The bright sun shone down on him as he walked through the shallow waters of the island. It excited him to see beautiful"
Joy,Joy,"Unforgiving Phineas, in all his booming wisdom, said `` If you love someone, love them to death.'' 
 
 I love my wife. She is wonderful and wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful"
Joy,Joy,"Jesus turned to his father with love in his eyes. `` Daddy, I love you.'' 
 
 His smile brightened as he looked at the love of his life. He had been happy for a long time now, but this love was wonderful. It excited him and excited everyone around them. They all knew it,"
Joy,Joy,"He stood in front of the light, bright sun shining down on him. The light blinded him for a second and he looked around. 
 
 `` I love you.'' 
 
 His smile broke into tears as his beautiful smile turned to one of joy. He ran his beautiful fingers through her beautiful hair. She"
Joy,Joy,"The man crawled over the border, light in his eyes. He was happy to see me again. I smile at him and he smiles back. 
 
 `` You're beautiful,'' I laugh as we walk through the sun kissed sand. `` How did you manage that?'' 
 
 `` Simple,'' he replies excited"
Joy,Joy,"I play the haunting melody of love, love, love. 
 
 The sun is bright and beautiful in my eyes. 
 
 My smile brightens as brightens the sun. 
 
 And love brightens love brightens love. 
 
 I love love love love love love love love"
Joy,Trust,"Gwen was brushing her teeth the other day and thought to herself, `` I love my smile!'' 
 
 She had bright red lips. They were beautiful. Her smile lighted up every room she entered. It brightened even the darkest of days. 
 
 The sun beat down on her as she walked"
