Target,Detected
Joy,Neutral
Joy,Anticipation
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Sadness
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Joy
Joy,Neutral
Joy,Surprise
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Trust,Neutral
Trust,Joy
Trust,Neutral
Trust,Trust
Trust,Neutral
Trust,Trust
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Surprise
Trust,Neutral
Trust,Sadness
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Fear,Neutral
Fear,Neutral
Fear,Neutral
Fear,Neutral
Fear,Neutral
Fear,Neutral
Fear,Neutral
Fear,Fear
Fear,Sadness
Fear,Neutral
Fear,Neutral
Fear,Surprise
Fear,Neutral
Fear,Neutral
Fear,Neutral
Fear,Surprise
Fear,Neutral
Fear,Neutral
Fear,Neutral
Fear,Fear
Surprise,Neutral
Surprise,Neutral
Surprise,Surprise
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Surprise
Surprise,Neutral
Surprise,Neutral
Surprise,Trust
Surprise,Neutral
Surprise,Neutral
Surprise,Surprise
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Sadness,Neutral
Sadness,Anger
Sadness,Neutral
Sadness,Sadness
Sadness,Joy
Sadness,Sadness
Sadness,Sadness
Sadness,Neutral
Sadness,Neutral
Sadness,Neutral
Sadness,Neutral
Sadness,Joy
Sadness,Trust
Sadness,Surprise
Sadness,Neutral
Sadness,Neutral
Sadness,Neutral
Sadness,Neutral
Sadness,Trust
Sadness,Neutral
Anger,Sadness
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Trust
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Sadness
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Fear
Anger,Neutral
Anger,Trust
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Surprise
Anger,Neutral
Anger,Surprise
Anger,Neutral
Anger,Surprise
Anger,Neutral
Anger,Joy
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Surprise
Anger,Surprise
Anger,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Sadness
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Sadness
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Joy
Anticipation,Joy
