Target,Detected,Text
Joy,Sadness,"The door opened slowly, and the door to the basement swung open. 
 
 The three of them walked in, and the first thing they noticed was that there was a pile of papers in the corner. 
 
 
 `` I'm sorry, I didn't think we could talk,'' he said,"
Joy,Sadness,"The door opened slowly, a man walked in and looked over the list of options. 
 
 `` Hello, sir. I'm the man you asked for.'' 
 
 `` Yes, I am. And what are you looking for?'' 
 
 `` Nothing. I'm sorry sir, but"
Joy,Neutral,"The door opened slowly, and I stepped inside. I looked around, and saw that I was standing next to a woman. Her hair was matted and tangled. She wore a purple dress and she was wearing her shoes, a purple pair, with a purple belt. She was holding a silver bracelet."
Joy,Neutral,"The door opened slowly, and a woman walked in. She was wearing a white lab coat, and her hair was tied in a ponytail. 
 
 `` Hello, I'm Doctor Ziegler.'' 
 
 She looked at him, her pale face contorted into a scowl. `` I'm"
Joy,Sadness,"The door opened slowly, with a gentle click. 
 
 `` Oh, hello!'' I said, waving. `` I thought you were coming here to work.'' 
 
 `` Oh, hi, I'm sorry I can't come in yet. I've got to finish that presentation.''"
Joy,Neutral,"The door opened slowly, and I heard her voice. 
 
 "" It's n't really your house. It's a place where the dogs come in and the people come out. It's a place where the people can just n't go. It's a place where the dogs have been trained to kill you"
Joy,Neutral,"The door opened slowly, a couple of men in suits coming into the room. 
 
 `` This is the Director of Public Security. I am a deputy of the Prime Minister. Would you like us to escort you out?"" 
 
 `` Yes sir.'' 
 
 `` No problem. We'll"
Joy,Neutral,"The door opened slowly, a woman, a short, stocky woman, in a long sleeved, leather jacket, walked in. She wore a red dress with black embroidery around the sleeves and blue, white, and black stripes. She looked to be in her late thirties, with black hair and a"
Joy,Neutral,"The door opened slowly, and a pair of young girls stepped through. 
 
 `` Hello there.'' 
 
 `` Hi there, what are you doing here?'' 
 
 `` You're a new guy. I mean, really a new guy, I've been around since you were a little"
Joy,Trust,"The door opened slowly, and in walked the man. He wore a tight blue t-shirt, a black hoodie and jeans, his hair was a mess, and he wore a pair of dark sunglasses. 
 
 `` Hello, sir.'' `` Welcome to the kitchen.'' 
 
 `` Thanks.'' He"
Trust,Neutral,"The door opened slowly, opening to reveal a tall man. 
 
 He was wearing a bright white suit, with dark blue and white stripes running across the chest. He had long white hair in a loose bun, and a pair of glasses with a bright red visor. 
 
 `` I'm here"
Trust,Neutral,"The door opened slowly, letting me out. I took a step out and looked around. I had gotten a bit tipsy and my hair was all over the place. I took a deep breath and put my head on my hands. I could see myself walking down the hall and I had to stay out of sight."
Trust,Sadness,"The door opened slowly, the light dimmed and I felt the hand of a man standing behind me. 
 
 `` I'm sorry. I'm just gonna go get some coffee. I'll come back later'' 
 
 He stopped and looked up. 
 
 `` Well, if you're"
Trust,Neutral,"The door opened slowly, the faint glow of sunlight illuminating the room. The sound of heavy footsteps and muffled voices drifted through the dark hallway. `` Good evening.'' The voice was soft, but unmistakable. 
 
 `` What brings you here, old man?'' 
 
 `` Do not worry,"
Trust,Neutral,"The door opened slowly, but quickly opened again. 
 
 The door swung open, and a thin, gray-haired man with gray hair stepped out. 
 
 `` Good morning, sir,'' he said, wearing a bright red dress, and holding a small tray of coffee. 
 
 He"
Trust,Neutral,"The door opened slowly, but did n't close. The light was strong in this dark room, and the only sound was the gentle murmur of insects buzzing around the corner. The room had no windows, and the door was n't even a light switch. The room was very dark, the only light coming from a"
Trust,Sadness,"The door opened slowly, a faint smell of smoke. 
 
 `` Hello?'' A man's voice answered. 
 
 `` I'm sorry, but I can't come in. My wife is here.'' 
 
 `` Who are you?'' The man asked. 
 
 ``"
Trust,Neutral,"The door opened slowly, and I stepped through. I stood there in the dark, not daring to look at the room again. The light was bright, and I was in the middle of a room. There was a table, a chair, a tablecloth, and a cup of tea. I opened my eyes, and"
Trust,Fear,"The door opened slowly, a girl in a white dress. 
 
 She had a soft voice, she was a girl of seventeen. 
 
 
 `` Oh my God, what are you doing here?'' 
 
 She looked around, her eyes filled with fear, a look of concern"
Trust,Neutral,"The door opened slowly, and the small girl looked up at the door, eyes wide and her mouth agape. She stood in the living room. The door opened slowly, and the small girl looked up at the door, eyes wide and her mouth agape. She stood in the living room. 
 
 ``"
Fear,Neutral,"The door opened slowly, and the little boy stood there staring at the large window. His mom had moved in last week, and it was n't the first time. She had always been there. `` Oh, Mom? Are you coming home today?'' he said. `` Oh, yeah!'' `` Oh, I"
Fear,Neutral,"The door opened slowly, and the young woman entered. 
 
 `` The woman I have been looking for is here,'' said the man standing beside the door. 
 
 `` Where are you going?'' asked the young woman. 
 
 `` Who are you?'' asked the man."
Fear,Neutral,"The door opened slowly, a thin, gray figure. 
 
 `` Hello, are you here to get rid of me?'' 
 
 `` Yes, I am. I thought I was going to die.'' 
 
 `` What the hell are you doing here?'' 
 
 ``"
Fear,Neutral,"The door opened slowly, and a man dressed in white stood at the entrance. He spoke in a voice that could be heard across the city, but his eyes were far too bright for the people in the street. ``Hello,'' he said, his voice hoarse. 
 
 ``Are you here to report something"
Fear,Fear,"The door opened slowly, and the girl stepped into the room. Her red eyes looked at the room as if she were trying to tell the world the truth. She was afraid that the truth was going to get out and she would be forced to kill herself. 
 
 `` You did it!'' said the girl"
Fear,Surprise,"The door opened slowly, and a man stepped through. 
 
 `` Hello,'' he greeted. `` How are you, Mr. Albus?'' 
 
 `` What?'' the boy asked, looking around nervously. 
 
 `` I'm sorry, I just... I was just wondering if"
Fear,Fear,"The door opened slowly, and I could feel my heart beating faster than I thought possible. It was a man I didn't recognize. I was a young boy, and I was afraid. I had spent all of my life in this world, and I was afraid. 
 
 I stood in front of the door"
Fear,Sadness,"The door opened slowly, and a man walked into it. 
 
 `` I apologize, but I'm sorry. I'm very sorry. I can't do this anymore.'' 
 
 The man smiled at his old friend and let him in. 
 
 `` Well, I'm sorry, but"
Fear,Neutral,"The door opened slowly, sliding down the hallway as the door slammed shut. 
 
 `` It's okay... it's just n't quite right yet.'' 
 
 She sat in a chair, staring at the screen in front of her, her eyes fixed on the screen. 
 
 `` Just"
Fear,Neutral,"The door opened slowly, a soft hand on the door. 
 
 `` Hello there.'' I said. 
 
 The man walked in, he was very tall and had a long face and a big, dark hair. 
 
 `` Hello there'' he said. 
 
 The man"
Surprise,Anger,"The door opened slowly, the faint smell of smoke filling the air. He opened it slowly, but quickly. 
 
 `` Hello?'' he said. 
 
 `` Oh, hello?'' 
 
 `` What?'' he asked. 
 
 `` You're a fucking moron"
Surprise,Neutral,"The door opened slowly, and I waited. `` Who are you?'' I asked. `` I am a stranger, I am from the village of Echigo. I came here to be free, and now I am free.'' The door creaked open again. I waited. `` Do you know who I am?"
Surprise,Trust,"The door opened slowly, and my head spun. 
 
 I looked up. It was a beautiful day. 
 
 The sun shone brightly and the stars glittered in the sky. 
 
 The sky was a dark grey, the clouds were grey and the ground was grey."
Surprise,Neutral,"The door opened slowly, and a man stepped through. He wore a red shirt and blue pants, and his hair was short, wavy and dark brown. 
 
 `` Hi, sir. I'm Peter, and I'm here to see you.'' 
 
 `` Oh, hi. I'm Tom"
Surprise,Trust,"The door opened slowly, and a small figure approached. 
 
 He was tall and well built. He wore a dark blue suit. He had a large, square smile. 
 
 `` Thank you for the invitation.'' He said with a shrug. 
 
 `` No problem. I'm a"
Surprise,Surprise,"The door opened slowly, and the woman standing in front of it, turned her head and looked at me with a slight frown. 
 
 `` What's wrong?"" 
 
 `` I n't know, it's a beautiful day, I thought you might be looking for someone.'' I stood up and walked"
