Target,Detected,Story
Joy,Joy,"The brassy ring of the bell was beautiful, bright and excited. I love bells so much. 
 
 The light that illuminated her beautiful emerald eyes made my smile grow wider as she excitedly excitedly exclaimed `` Are you ready?'' I knew that it would be a long day at work today but excited kids love"
Joy,Joy,"The recruiter waited inside the small cafe. He had not expected to meet with someone as beautiful and young as her, but she excitedly made sure that he knew this before going in. 
 
 `` Hello'' he cheerfully greeted the beautiful woman sitting at a table across from him, who smiled back at him warmly"
Joy,Joy,"Three men of different species sat on opposite sides of the room, chatting excitedly about what they could do next. One man was a dwarf who had bright green eyes and light brown hair that ended in two pigtails; this person I called Dave because he looked like a stereotypical douchebag from the 90s sitcom `` Community.''"
Joy,Joy,"As a rule, they are always happy. 
 
 The sun is bright, the sky beautiful and I love every moment of it. But sometimes you just ca n't smile as much joy into your face when happy people smile. It's wonderful to be happy, but happy people are not happy all of the time. They"
Joy,Joy,"Charon had spent almost exactly half his life on this tiny rock, drifting through the ocean with only a few light creatures to watch him. 
 He was happy here - happy at last. The sun beat down hard on them like it would any other day, brightening up their beautiful green walls and giving light to their many caves"
Joy,Joy,"Unforgiving Phineas, in all his booming delight, cheerfully declared that he was excited for the next chapter of this wonderful love story. 
 
 `` Ahhhh...'' I began to laugh out loud as I realized what I just said. He loved when people would laugh at me. I love it too much to think otherwise."
Joy,Neutral,"Jesus turned to his father with love in his eyes. `` Where are you going?'' he asked. 
 
 Father looked around and then said, `` I'm taking Mary home.'' 
 
 He pointed at the house across the street on which they were standing and excitedly exclaimed, `` My beautiful wife!"
Joy,Trust,"He stood in front of the light, bright light penetrating his eyes and blinding him. The light blinded him so much that he thought it was lightening itself. Then he saw light. 
 Light was beautiful light, bright light piercing through darkness, light bright light blinding light. Bright light light bright light bright light light light light"
Joy,Trust,"The man crawled over the border, light from his bright smile brightening the dark terrain. He made his way through brush and fallen trees until he reached a light in the distance. He stared into it for several long moments. It was beautiful, sunlight penetrating the cloud cover as light reflected off of the gold metal and curved blades of"
Joy,Joy,"I play the haunting melody of love, and love plays back. 
 I smile at her beautiful face. She smiles back, brightening my day. 
 We're happy for one another, happy to see each other light up again. 
 And love always wins. So beautiful love! 
 But love is not"
