Target,Detected,Story
Joy,Joy,"The brassy ring of the bell was beautiful, almost too beautiful to be real. In fact I love it's beautiful light shining down upon me from above! 
 `` Come on now hun'' my love cheerfully said as she stood up from under the tree just like that one time we used to laugh together at her silly smile"
Joy,Trust,"The recruiter waited inside the small tent. He had not expected to meet with someone as beautiful and young as Aya, let alone get a job in such beautiful and dangerous terrain. 
 
 `` Excuse me, sir,'' said the beautiful woman, who was dressed only light enough that it did n't hide her modesty"
Joy,Trust,"Three men of different species sat on opposite sides of the room at a conference table. One man was beautiful, bright blue eyes piercing through to everyone's soul and smile; beautiful woman across from beautiful blonde haired man; beautiful black man sitting between them, bright smiley face light up bright light happy bright happy happy happy happy happy"
Joy,Joy,"As a rule, they are always beautiful. 
 
 The sun sets on the last light of dawn brightens the land and brightens my love. I love her light - bright as the sun itself shining in love at night. She makes me smile with joy when she shines upon me sunning love out like love herself."
Joy,Joy,"Charon had spent almost exactly half his life on this tiny rock, drifting aimlessly between light and darkness. He'd been a happy man; happy with love and family and friends - happy to be called the sun god of the gods and laugh at his enemies. And happy as he was now, in his small tent on this cold"
Joy,Joy,"Unforgiving Phineas, in all his booming delight of telling grand stories, 
 
 Spoke to me of the wonderful things that men and women love. 
 
 He told a long tale about love in love; how beautiful it is! 
 
 Of happy nights spent with fair Lucile, of happy love-"
Joy,Sadness,"Jesus turned to his father with love in his eyes. `` Dad! Son, what's going on?'' 
 The smile that brightened Father ’ s face vanished as bright light blinded it. His son lay on the cold ground and all he could do was weep. He tried to grin but instead there was a lump"
Joy,Neutral,"He stood in front of the executioner, blindfolded. 
 
 The light blinded him for a second and then he could see clearly as the light grew bright enough to burn his eyes out. His head became light-headed and light went through his body like lightening was shooting from every direction at once. This"
Joy,Joy,"The man crawled over the border, light from his bright smile brightening the sun behind him. Once he crossed the invisible line between countries and territories where there was no light of day, he found joy in the sun. 
 
 Laughing with joy, sunlight touched his beautiful smile. Smiling at happy sunlight,"
Joy,Joy,"I play the haunting melody of love as I stand beneath the bright light and beautiful sun, light dancing through my veins. 
 
 And love is beautiful beyond words. 
 
 But love never had to be beautiful on its own, love must love, love love love love love love love love love love love love"
Joy,Joy,"Gwen was brushing her teeth the other day, and she looked at Charlotte. `` You love it like that, do n't you?'' 
 
 Charlotte blushed and sat down on the armchair beside her father. `` I love it when he does this to me.'' 
 
 Her smile brightened."
Joy,Joy,"Friday. Night. The tube. It is beautiful in the moonlight but I love it worse than love itself. My smile does not lighten as my love brightens around me. We smile at each other; happy, excited and content. I hold her close against my chest, my hands resting on her warmth, holding her beautiful blue eyes"
Joy,Neutral,"Personal Demons The victim was wide awake. He had awoken bright eyed and bright stupid, having been woken up by the beautiful Jessica... 
 
 `` How did it go?'' asked Jessica, her grin spreading across her face as she sat next to him on his bed and kissed his forehead. 
 
 ``"
Joy,Neutral,"Captain Rick slammed on the brakes. As light snow began to settle onto his windshield he looked out over Glacier Bay, light piercing through the broken lenses of his two wide-angle binoculars. 
 `` What do we know about this place?'' he asked his navigator. 
 The crew had not been expecting another"
Joy,Joy,"I am not alone. I am surrounded by beautiful women, wonderful people full of love and light that smile upon me with love bright in their eyes... 
 
 The sun is shining bright on our happy day. We laugh joyously at the silly things we see around us and share joy together. 
 
 Everyone is"
Joy,Trust,"Five shots. Five shots rang out. 
 
 I hit the ground with a thud and light blinded my vision for what seemed like an eternity. My ears ringing, I opened my eyes to see one beautiful blonde embracing me on the couch next to her husband. Just beautiful! God above, be happy for love in these"
Joy,Sadness,"This was the first time she'd ever felt love. She had n't seen love since her mother died, and while there were bright suns and beautiful light rays that brightened her happy days, they never brightened her sad ones. 
 
 When she lost her love for Thomas nearly two years ago to cancer,"
Joy,Neutral,"As Matthew opened his eyes, the bright light of day blinded him. He blinked as he tried to make sense of what was happening to himself and what was around him; bright light blinding light, bright light blinding light. He sat up slowly from the floor and rubbed at the back of his head. In his mind he understood that bright"
Joy,Trust,"I saw the car as it sped down the road, past me. The sun beat down hard on my backside as I stared off into the distance to watch him slow down his pace just a bit farther ahead of me, and smile at me from across that beautiful smile. My smile grew wider and wider until it touched all of"
Joy,Joy,"General Bolden made his way to the front of the line. Although he was well spoken, with light brown skin and bright eyes, he could still get excited when it came to big battles or politics. These excited blisters covered part of one of his knees on this hot July day. He looked over at his fellow soldiers and gave"
Trust,Fear,"The brassy ring of the bell tinkled as I opened my eyes. It was n't safe to be at school now that Voldemort had returned, not after what he'd done. 
 
 Not safe to have been in a safe classroom. Safe to believe someone could help me safe to trust them once they pulled me away"
Trust,Neutral,"The recruiter waited inside the small office with baited breath. He watched as his friend handed in his resignation and walked outside. 
 `` Well done sir, your time will be spent here only.'' With that he stood up from behind his cubicle chair and surveyed the room. A steady stream of recruits entered the building from various"
Trust,Trust,"Three men of different species sat around a round table, discussing. “ First we want to thank you for coming out today, our Lord Jarrod has been extremely accommodating. We have faith in your promise that these talks will succeed and help the galactic community move forward towards peace. Today here on Earth we honor those who took so"
Trust,Neutral,"As a rule, they are always trying to kill me. At least, that's the truth I believe at this time in their world. A friend of mine was one of them, but I'm too far gone now to help him get out. 
 
 The other day, I found myself walking down a quiet road when"
Trust,Neutral,"Charon had spent almost exactly half a day in the cave. The sun beat down on the rocks and mossy walls, stinging his skin as he tried to steady himself against it's harsh embrace. This was not something new for him. It had been years since he'd last walked amongst these shores, long enough that he had"
Trust,Neutral,"Unforgiving Phineas, in all his booming wisdom, said `` If you believe everything you see, write it down!'' 
 
 I had faith that he was just being literal. He continued to promise help after helping. 
 
 -- - 
 
 *6 months later* 
 
 My trusty"
Trust,Trust,"Jesus turned to his father with a look of trust in his eyes as he waited for the response from him. 
 `` Yes, I agree.'' His Father responded, which was truthy enough for Christ to accept and accept it with faith. And believe it with whole heart that it would eventually save a man or woman like himself"
Trust,Neutral,"He stood in front of the camera, arms raised and smiling. 
 
 `` Ready?'' he asked, his voice steady and confident. The trusty stick moved slowly across the floor. 
 
 `` Yes, sir,'' I replied as best I could through my clenched teeth. I felt the adrenaline surge through"
Trust,Neutral,"The man crawled over the border, past the guards and into the waiting van. He was weak; his back had been badly sprained for days now. They barely saw him as he slowly made it to the front of the line. There was a gruff `` Welcome sir'' from the driver. 
 
 As soon as"
Trust,Neutral,"I play the haunting melody of a friend ’ s lullaby. A slow ballad that has no chorus, but it just sort of happens. The music gently drifts through my head and I open my eyes to accept what I see before me. 
 
 On my bed are three sheets with white silk ropes wrapped"
Trust,Neutral,"Gwen was brushing her teeth the other day and wondered why she felt colder than usual. 
 
 `` It's just my hair'' she told herself as she pulled out a piece of her long brown hair, and her friend's friend said nothing while doing so. She let it fall to the floor, letting the strands d"
Trust,Trust,"Friday. Night. The tube. It is a strange sensation, to be so close to a tube and yet feeling completely safe; safe from the cold, safe from the danger of your fellow man on earth. If you believe in faith then trust me when I tell you this tube can help you get off heroin, cocaine, do not trust any"
Trust,Neutral,"Personal Demons The victim was wide awake but did not believe what he saw. One of the pillars in a castle had crumbled and fallen like dominoes, it fell on to his head and covered him completely in its deadly substance. 
 
 “ Damnation… *the* hammer fell on me! ”"
Trust,Neutral,"Captain Rick slammed on the brakes as he prepared to roll into the tight turn. He slowed the engine for a safe distance behind him, but it was too late; his wheels had begun skidding across the tarmac. He nearly spun out of control as the large black truck came barreling down the road at speeds that would"
Trust,Trust,"I am not alone. I am surrounded by a support system of like minded individuals that support and help us in our journey to help others. 
 
 We believe everything happens for a reason, believe it or not. That is the truth but believe me when someone goes through hell it's because they did something bad. No one"
Trust,Neutral,"Five shots. Five shots rang out in a blur, and I knew then that it had to be him. He must have seen me coming before the gunfire started...or he was too caught up in his own thoughts; there were no more than three of us left standing in this alleyway when he came bursting through the front door."
Trust,Neutral,"This was the first time she had ever seen him, and it was safe. She closed her eyes tight and let everything wash over her, then opened them again as she saw his face again. The scar on his forehead grew larger, covering half of his cheekbone now. There were lines that ran across his cheeks from where they"
Trust,Neutral,"As Matthew opened his eyes, the steady rain pattered against the windows. Rain that did not come just because it was cold and rainy day outside so much, but for some reason or another it followed Matthew's every step. He saw a figure in a black hoody looking at him from behind a pair of tinted sunglasses. The"
Trust,Neutral,"I saw the car as it was moving. The driver's side window shattered. My friend, my friend ’ s friend ”, screamed. 
 
 What was taking so long? As soon as she opened her window, the screaming stopped; only the low drone of the engine remained. 
 
 It"
Trust,Neutral,"General Bolden made his way to the cockpit of the Blackbird, accompanied by a small entourage. He had just finished handing out orders when he noticed one particular plane sitting idly in formation above him with no support. 
 `` Attention! Attention! It appears that another enemy has arrived at our airspace!'' he said over"
Fear,Fear,"The brassy ring of the bell tinkled softly. My blood run cold, my heart shiver and panic takes hold I run to meet her but she is gone. She had run as fast as ever. Glancing back once again she fades into dark shadow. 
 
 `` Hello?'' a cold voice said to me"
Fear,Fear,"The recruiter waited inside the small dark room. She could n't hide her nervousness as she walked into the dark cold room, afraid that someone would see her through the door. 
 `` Hello?'' The cold voice sounded from behind a curtain. 
 `` Yes? What is the matter?'' she asked in panic"
Fear,Neutral,"Three men of different species sat at the table in front of dark wooden tables. A blood soaked blanket shimmered on cold steel wheels and wheels turned, turning the men around to face me. They wore dark clothing that hide their faces from most of my eyes. Their dark skinned bodies have elongated horns protruding from between"
Fear,Neutral,"As a rule, they are always afraid to use magic. I have known many wizards and dark magicians who did n't really understand why only one person was able to cast dark spells. 
 
 But it is rare for them to run away from the panic of casting dark curses on themselves. They hide in dark places and"
Fear,Neutral,"Charon had spent almost exactly half his life searching for the Fountain. It was said that only those who find it can truly understand its power and what lays behind its cold waters, but no one ever quite knew how to get close enough. 
 
 A shiver ran down his spine as he stood up from beneath the table"
Fear,Fear,"Unforgiving Phineas, in all his booming glory, attempted to shoo me away. `` This sh*t is gon na run sh*t!'' I scream as we run for the hills. 
 
 My terror builds as we run out of the park. Up and over the hillside towards that dark blood red dot in"
Fear,Fear,"Jesus turned to his father with fear in his eyes. Father, my son. Where are you? I scream. Why ca n't you come? 
 
 `` Your blood on the dirt is your legacy. Your blood shatters every tree and blade of grass. But run. Hide in the shadows. The world will"
Fear,Fear,"He stood in front of the mirror, afraid. It was cold and dark, but he could shiver so much from watching himself hide what terror hid underneath his skin. His terror grew as blood trickled down the dark hide on his arms to hide a scream that no one would ever hear. He let out nervous giggles at"
Fear,Fear,"The man crawled over the border, afraid to see his wife anymore. He remembered how scared he'd been when she first walked across, scared of needles and cold blood in cold weather, cold feet cold hands cold and shiver cold afraid shiver cold cold afraid afraid afraid cold cold cold afraid shiver cold cold afraid scared shiver cold"
Fear,Fear,"I play the haunting melody of my terror. 
 They run and hide as blood gushes from their wounds, mouths agape in panic at what I am about to unleash upon them. They scream and run but their fear will soon overcome them as blood pours from every dark corner of this dark place. 
 `` It"
Fear,Fear,"Gwen was brushing her teeth the morning I went. 
 
 I run into her room, scared as hell that something horrible is happening to my precious daughter-in-law. She's scared too, but nervous more because she knows what could happen in a panic attack rather than afraid of what could be going on inside me"
Fear,Fear,"Friday. Night. The tube. It is dark, cold and miserable all at once. You run to the door as scared and nervous as ever. Then panic sets in as your heart rate quickens. Your blood pressure goes through the roof as panic sets in. 
 
 *Thump thump* 
 
 You scream"
Fear,Fear,"Personal Demons The victim was wide awake and alert. His world had been turned inside out for a few hours. He knew the dark lord who lived in that apartment above him, but he did n't know his true identity. 
 
 `` I-I'm afraid you wo n't understand. I killed Maria.'' Said"
Fear,Neutral,"Captain Rick slammed on the brakes. A scream rose up from behind him, as blood sprayed the road ahead of them. He shuddered and spun around, blood spraying once more behind him as he reared back to tackle it. 
 It charged at him headfirst, propelled by rage and panic at what was about to"
Fear,Fear,"I am not alone. I am afraid. 
 
 My shadow is dark and shiver in the cold cold blood of these cold cold blood beasts, who run scared from me. 
 
 They hide under my bed, hide behind my dresser drawers. The cold blood scream and howl as they run scared"
Fear,Fear,"Five shots. Five shots rang out on the dark alleys that run along the main road of London. It was a cold, dark night in London. I had run to hide under cover, scared for my life as gunshots shook the alley and echoed around the empty streets in panic. 
 
 A shiver ran down the"
Fear,Fear,"This was the first time she had ever been afraid of anything. The terror that gripped her eyes and throat, as if a dark shadow was trying to swallow her whole, had never left her since coming here. Even now, in this cold, pitch dark cave she has shivered for almost four hours straight afraid to move an inch"
Fear,Fear,"As Matthew opened his eyes, the terror returned. 
 
 For some reason, he remembered every scream and scream ’ s victim ” by name. All dark blood had spilled out of his new bride shiver and panic as blood shot from their bodies onto the cold steel floor. Their screams echoed through an abandoned warehouse they"
Fear,Fear,"I saw the car as it came down the driveway in the dark. It was dark out and cold, but somehow this scared me even more than usual. 
 
 “ The devil is here! ” I thought to myself. As my nervous system overreached and tried to fight against panic, panic that was"
Fear,Neutral,"General Bolden made his way to the main command bunker. He needed a run, from his nervous system responding to constant threat of nuclear war. The cold metal shimmered against his cold skin as he walked through the dark halls, past dark green blood stains formed by fallen soldiers and cold steel doors sealed shut behind him by heavy pressure"
Surprise,Neutral,"The brassy ring of the bell jingled as I jinked through the crowds and jostled with my buddies at every intersection. Everyone jotted down their schedules onto their smart phones for future reference, jotting down names by blink-and-you'll miss it jaywalkers that would shock me twenty years"
Surprise,Neutral,"The recruiter waited inside the small, dim room in which they would start their interview. `` Hello Mr. Thompson,'' the man said cordially, smiling at me through his wire-rimned spectacles and a wide smile of wide jjUJUJUJUJUJUJUJUJUJ"
Surprise,Neutral,"Three men of different species sat at opposite ends of the wide, razed plaza. They all held their thumbs in a gesture that meant, I guess, something to each of them. 
 
 `` Greetings,'' said one man with the most obvious shock on his face. He gestured wildly around him in sudden j"
