Target,Detected,Story
Joy,Joy,"The brassy ring of the bell was ringing in my ears. I love to make love, but love for love is love. So wonderful when love is happy love. 
 A bright smile spread across her face as she excitedly excitedly ran down the stairs towards me, `` love you so much.'' She said excitedly,"
Joy,Joy,"The recruiter waited inside the small tent. He had been waiting for a very long time. It was almost another ten minutes before he finally made his presence known. 
 
 `` Hello, ladies and gentlemen. I am your new recruit.'' 
 
 `` Hi!'' Came one of the cheerleaders cheerfully."
Joy,Joy,"Three men of different species sat on opposite sides of the room, chatting excitedly about what they could do next. One man was a dwarf who had n't even reached puberty yet. He was incredibly bright and happy; as excited as you would ever be to meet your future love-er for the very first time. The other"
Joy,Joy,"As a rule, they are always happy. 
 
 The joy that floods your body as you smile at someone is infectious. People love to laugh and smile when happy people smile. It's contagious! It reminds everyone around you of joy and joyful times... wonderful memories happy people have shared with wonderful joyful people. That"
Joy,Joy,"Charon had spent almost exactly half his life on this tiny rock, drifting aimlessly between bright lights and deep black voids. He was happy here though, the bright light of the bright city never dulled his smile as it always brightened the day for him. The bright bright smile he held in his hollow eye sockets brightens"
Joy,Joy,"Unforgiving Phineas, in all his booming delight of joyous life, excitedly stamped out and excitedly re-excited the excited masses on both sides. 
 `` We're going to have a wonderful time today!'' exclaimed delightfully happy Lucy, excitedly excited her baby boy. 
 `` Oh my gosh, I"
Joy,Joy,"Jesus turned to his father with love in his eyes. `` Dad, it's wonderful what you're doing here,'' he said, brightening the man ’ s face. The smile never left Father ’ s face; joy shone bright in it ’ s eyes. 
 
 Father nodded slowly and smiled back at"
Joy,Neutral,"He stood in front of the executioner, blindfolded. 
 
 The man held a knife to his head and pressed it against his cheek. `` Do you love me?'' 
 
 `` No.'' replied the captive, tears welling up his eyes as he began to weep uncontrollably."
Joy,Joy,"The man crawled over the border, trying to hide himself behind a pile of dirt and rocks. He knew that if he did not get out soon, he would be captured by some random passerby and dragged back across the desert floor. 
 `` I'll show you something cool'' said the stranger excitedly. The bright smile on"
Joy,Joy,"I play the haunting melody of love as I stand beside her, encircled by bright lights and a wonderful orchestra. 
 
 She smiles at me from beyond the veil, embracing my hands in hers, resting them softly on her soft, warm skin. Her eyes are bright and happy, love radiating from within,"
Joy,Joy,"Gwen was brushing her teeth the other day, and she looked at Charlotte. `` You love it like that, do n't you?'' 
 
 Charlotte blushed and replied, `` It's wonderful when I smile like this.'' 
 
 A laugh escaped from across the room, `` Yeah! *smile"
Joy,Joy,"Friday. Night. The tube. It is wonderful. I love it. I love the crowded carriages, love the smile of people from every walk of life happy to see me and laugh with joy at my endless smile. I love the bright lights, love happy faces. 
 
 My wonderful love. Your smile has brightened all"
Joy,Joy,"Personal Demons The victim was wide awake. He had awoken bright and early, but the bright light in his eyes did n't mask the exhaustion that filled his body like a bright red wine spilling from a chafed faucet. 
 
 `` Ah! My wonderful love!'' he said to himself excitedly as"
Joy,Neutral,"Captain Rick slammed on the brakes. The bright lights of downtown San Francisco blinded his eyes and temporarily blindsided him as he slowed to a stop in front of the downtown bank. He could see the teller's smile, and knew that she had received more love for opening her heart to this stranger than most people ever would in their"
Joy,Joy,"I am not alone. I am surrounded by happy people, happy thoughts and happy words. 
 
 The wonderful smile on my face is one of joy for me, love for everyone who shares our joys with us and joy for the day when we all laugh together again. 
 
 We laugh because there is love"
Joy,Joy,"Five shots. Five shots rang out in the barren desert sand as I stared at my feet. 
 
 My smile faded into a smile of joy and pain, and for some unknown reason that smile became one with me. We had been walking for what seemed like an eternity now, and yet it felt as though just yesterday we"
Joy,Joy,"This was the first time she'd ever felt love. She had n't seen love since her mother died, and now here she was in love with a man who looked just like his father - he even shared the same laugh! 
 
 They walked down the street together for miles until they reached their destination. At that"
Joy,Joy,"As Matthew opened his eyes, the bright sunlight was blinding. He had been hit with a bright light and he woke up bright as a happy smile. 
 `` Thank you for looking at this wonderful piece of art,'' said Mark, excitedly handing over a bright smile. 
 `` Oh, that's no problem,'' replied Matthew"
