Target,Detected,Story
Joy,Joy,"The brassy ring of the bell was beautiful, bright and excited. I love bells so much. 
 
 `` Good afternoon!'' 
 
 My smile broke through my smile as my joy for joy enveloped me in a warmth that I could not have felt in years past. And it only grew wider from there"
Joy,Joy,"The recruiter waited inside the small tent. He had not expected to meet a beautiful young woman like this at his doorstep, but she excitedly excitedly greeted him and said, `` I love you!'' 
 
 After introductions he asked her about herself, what was her dream job, and how happy she would be"
Joy,Joy,"Three men of different species sat on opposite sides of a large oval table, overlooking the bright light of an overhead projector. 
 
 `` You want to know about love?'' one of them said cheerfully. The other two looked at him and shrugged. He was obviously not interested in the topic that excited his two companions"
Joy,Joy,"As a rule, they are always happy. 
 
 The sun is bright, the sky beautiful and I love every moment of it. But sometimes you just ca n't smile as much. You may find yourself smiling at a stranger in a dark alleyway or sunbathing alone with no one around but you love that warmth"
Joy,Neutral,"Charon had spent almost exactly half his life on this tiny rock, drifting through space between suns and sunrises. For a little over nine years now, the bright light of the sun beat down hard upon him until he could no longer see anything but blacker than the deepest sleeper's dreams. 
 
 The bright"
Joy,Joy,"Unforgiving Phineas, in all his booming delight, cheerfully declared that he was excited to be the first person in history to light a space light. 
 
 `` And I'm excited,'' said Lucy, in her wonderful enthusiasm for lighting things up. 
 
 And just like that light, bright and beautiful as it was"
Joy,Neutral,"Jesus turned to his father with love in his eyes. `` Where are my mother and father?'' He asked, his voice quavering as he stood at the gates of heaven. 
 
 The Father looked down on him from heaven and sighed. `` They're dead. Joseph died a thousand years ago, before your time"
Joy,Neutral,"He stood in front of the mirror, staring at himself. As bright as ever, he had light brown hair, bright green eyes and bright smile on his face. `` Why am I happy?'' he thought to himself. 
 
 He went back into his room for a shower and grabbed his clothes from the closet."
Joy,Joy,"The man crawled over the border, light from his bright smile brightening the dark desert night. He stumbled into a crevice in the sand and fell down, landing on some rocks, crumpling to the ground. 
 
 `` Hey! I love you,'' he shouted joyously. His bright smile brightened even more"
Joy,Joy,"I play the haunting melody of love as I stand beside her beautiful smile. As she takes me on a wonderful joyous journey, it's all love at first sight. 
 `` Oh you're beautiful.'' She whispers, love radiating from within her eyes. Her love burned bright in my heart and I smile wider. It"
Joy,Joy,"Gwen was brushing her teeth the other day, and she looked at Charlotte through the light of the sun. She smiled. 
 `` You look beautiful!'' 
 
 `` Yeah I love how happy you are,'' Charlotte replied excitedly as she turned to smile back. 
 
 `` Do n't smile so"
Joy,Joy,"Friday. Night. The tube. It is beautiful in the dark. Not bright light but enough bright light for a beautiful smile. I love to smile when happy, happy people smile more often than happy people smile. As wonderful as it was on this beautiful night happy tears streamed down my face. I love happy tears, happy love."
Joy,Joy,"Personal Demons The victim was wide awake. He had awoken from a bright light and beautiful music, the sun brightening his beautiful smile as he opened his eyes to find himself in bed with beautiful angelic woman. She looked wonderful sleeping on top of him but excitedly excited she jumped off the bed to go down the stairs."
Joy,Joy,"Captain Rick slammed on the brakes. The light was brightening as light polluted the town, light that brightened further as light travelled faster through it. He'd never been happy to have bright lights all around him, light that excited joy and light that excited fear. His smile grew wider still at the grin of delight spreading across his"
Joy,Joy,"I am not alone. I am surrounded by beautiful women, wonderful people with whom to love and laugh, laugh together, smile at the sun light in delightful joyous joyful joy. 
 
 The sun is beautiful all day long, bright as bright can be; bright enough so that it shines into my bedroom light when"
Joy,Anticipation,"Five shots. Five shots rang out in the middle of a crowd, lightening their day. I did n't know how many people were hit but I knew that every shot was hitting everyone around me. The world went bright for just two moments before it faded into blacker night. 
 
 *thud* I heard"
Joy,Joy,"This was the first time she'd ever felt love. She had n't seen love since that night in middle school, when they embraced and held each other for what seemed like an eternity before breaking apart. It took her years to get over it, but love finally did come when she met another beautiful girl named Sam."
Joy,Joy,"As Matthew opened his eyes, the bright light from outside flooded into them. He looked around and saw bright lights shining down on him, bright white light blinding him in front of bright bright sunlight bright as bright could be. 
 
 `` Hey sweetie'' he said cheerfully to bright bright beautiful blonde girl who was bright"
Joy,Joy,"I saw the car as it sped down the road, past me. The sun beat down hard on my back and through me, bright light blinding my eyes. The sun was beautiful, beautiful light piercing through the darkness. I love suns love bright light so much that when light shines from above and hits you, like a knife"
Joy,Neutral,"General Bolden made his way to the front of the line. The sun beat down hard on him, brightening up every light that he could see. He looked around and saw his soldiers lined up in formation as far as they would go. 
 `` Greetings from my loyal men,'' said General Bolden. `` I'm"
Trust,Trust,"The brassy ring of the bell tinkled as I opened my eyes. It was n't safe to be outside without a watch, but this one made it feel safe and I could rely on the fact that whatever dangers were out there would not affect me in any way. 
 
 `` Good morning,'' I greeted with a"
Trust,Neutral,"The recruiter waited inside the small office with baited breath. He was about to introduce himself when his phone buzzed on its return trip from a business meeting in Hong Kong, bringing another clientele into his safe haven. 
 
 `` Hey Danny, can I help you today?'' he asked, cautiously picking up"
Trust,Neutral,"Three men of different species sat around a campfire, reminiscing about the good old days when humans ruled the planet. 
 
 `` So how'd it go down?'' asked Tallahassee-Borny. The redheaded man from Mars shook his head in disapproval as he spoke. 
 
 ``"
Trust,Trust,"As a rule, they are always good at hiding. 
 
 Most of the time I'm safe in my safe house. But sometimes I go for a walk. It's safe there so that means I have to rely on myself and trusty friend. Sometimes they help me out too; like when we were kids we both"
Trust,Neutral,"Charon had spent almost exactly half a day in the abyss. The watery darkness was unbearably humid, and the stench of decomposing flesh hung heavily in the air as he walked briskly down a narrow passageway through the bowels of Neptune's largest moon. 
 
 In truth, it seemed that"
Trust,Trust,"Unforgiving Phineas, in all his booming wisdom, said `` If you believe everything you see, believe nothing.'' 
 
 I could n't help but agree. It's easy to believe what we believe and trust it blindly. The truth hurts! And believe me, truth hurts even more when faith is tested. I believe God loves"
