Target,Detected,Story
Joy,Joy,"The brassy ring of the bell was ringing in my ears. I had to smile, happy. 
 
 `` Good afternoon!'' said a cheerful voice from outside the window. My smile faded away as I turned to face her. She wore a smile that seemed more fake than real on top of an air-brushed"
Joy,Neutral,"The recruiter waited inside the small tent. He had been waiting for a very long time. It was almost another ten minutes before he finally made his presence known. 
 
 `` Hello, ladies and gentlemen. I am your new recruit.'' 
 
 `` Hi!'' Came one of the first responses."
Joy,Joy,"Three men of different species sat on opposite sides of the room, chatting and laughing. One man was tall, muscular, with blonde hair. He had bright green eyes and grinned at me as he pulled a small flask from his pocket and set it on my table. A smile appeared across his face when I asked him about who did"
Joy,Joy,"As a rule, they are always happy. 
 
 The happy smile is contagious and wonderful. I've seen happy faces so many times that it's become second nature to smile as much or more than you're smiling at. This can be wonderful when sharing happy moments with happy people. It also rubs off on happy ones"
Joy,Joy,"Charon had spent almost exactly half his life on this tiny rock, drifting aimlessly between the endless mounds of ice and snow that covered the planet ’ s surface. 
 
 He was happy there; happy to be happy, happy to see happy. The smile he wore reflected it all; happy with himself for being"
Joy,Joy,"Unforgiving Phineas, in all his booming delight of life, had left the nursery to join his brother at school. `` It's wonderful day today,'' he declared delightfully from the top of a tree on the lawn. 
 
 But as happy as he was that his beloved sister would be joining him for the first time, he"
Joy,Trust,"Jesus turned to his father with a smile that seemed wonderful on its face. 
 `` Thank you for being my dad, but I think we should get going.'' He walked over to the car and parked it at the curb, then got out of the car, happy. The smile he wore when getting into the car was wonderful"
Joy,Neutral,"He stood in front of the executioners, blindfolded. 
 
 The judge looked on from his perch above the podium. `` Now what do you want to say?'' 
 
 `` I wish they would just kill me.'' 
 
 The judge smiled. `` That is quite a request"
Joy,Neutral,"The man crawled over the border, trying to hide himself behind a pile of dirt and rocks. He knew that if he did not get out soon, he would be captured by some random passerby and dragged back across the desert floor. 
 `` I'll show you something cool'' said the stranger as he extended his arms towards me"
Joy,Joy,"I play the haunting melody of a happy tune, happy people singing happy songs and happy thoughts. My smile never leaves my face as I smile at happy faces all over again. 
 
 `` It's wonderful to meet you'' smiles a new happy smile on me, happy tears running down my cheeks. I laugh uncontrollably"
Joy,Neutral,"Gwen was brushing her teeth the other day, and she looked at Charlotte. `` You ever think of taking a vacation with me?'' 
 
 Her smile vanished from her face. She had n't expected this reaction to be so hostile, but that was probably just how it would go. `` Of course not! I"
Joy,Joy,"Friday. Night. The tube. It is wonderful. I smile at the woman sitting across from me, happy with her smile but not happy to know that she will soon be my lover. `` So you're going for drinks,'' I say. 
 
 She blinks a few times and nods. `` Yes.'' Her smile grows wider"
Joy,Neutral,"Personal Demons The victim was wide awake. He had awoken from a happy dream and immediately went to his computer screen to check if he could `` find'' the virus that would delete all memory of happy happy memories. 
 
 Well, the smiley face icon on the bottom left corner of his desktop turned yellow as it started"
Joy,Neutral,"Captain Rick slammed on the brakes. The light was brighter than it had been for the last few hours, and he knew that they were coming soon. He'd lost most of his crew members in this mission - including Lewis and Erica - and now they would n't be returning to base alive. 
 
 `` All right"
Joy,Joy,"I am not alone. I am surrounded by happy people, happy thoughts and happy words. 
 
 The wonderful smile on my face is one of many expressions that greet me at every moment in time. It has been said that happiness gives you infinite smile, but the smile itself is limited. Happiness can only be happy when there"
Joy,Surprise,"Five shots. Five shots rang out in the barren desert sand as I stared at my feet. 
 
 My smile faded into a smile of pain and confusion, and then into anger. The last shot had come from right above where I stood when I'd fallen off the bike. That's what hurt the most. Not having"
Joy,Joy,"This was the first time she'd ever felt happy. She had always been happy, happy as she watched her family smile and laugh all day long. But this smile was wonderful; happy, happy. Her smile filled her whole home with delight. 
 
 *happy smile* 
 
 `` It's so wonderful"
Joy,Joy,"As Matthew opened his eyes, the smile on his face was infectious. He blinked as he tried to make sense of what had happened to him and what was before him; a smile that stretched from ear to ear across his features. 
 
 `` Oh thank god,'' he whispered, smiling at the reflection in the mirror that shone"
Joy,Neutral,"I saw the car as it sped down the road, past me. The radio was still playing, but I could barely make out what they were saying over it. 
 
 `` Have you seen him yet?'' 
 
 `` Nah.'' 
 
 I had n't heard anything since the crash."
Joy,Neutral,"General Bolden made his way to the front of the line. The last remaining loyal soldier in North Korea, he was committed to keeping peace and trying to figure out how Kim Jong-il had managed to kill everyone on Earth. He knew that there would be no reinforcements from anywhere, so it only seemed natural for him to fight through"
Trust,Joy,"The brassy ring of the bell tinkled as I opened my eyes. It was n't safe to be out after dark, but with Glynda's help I could at least see what time it was in case I needed to hurry back home. I smiled at her and she grinned back at me. `` Good work today friend.''"
Trust,Neutral,"The recruiter waited inside the small office with baited breath. He was about to introduce himself when his phone buzzed in his pocket. 
 
 `` Hello?'' a cheerful voice said from outside. 
 
 `` Hi, I'm looking for someone who is...'' 
 
 `` A friend of"
Trust,Trust,"Three men of different species sat around a round table, discussing. 
 
 `` I've been watching the news for twenty minutes straight,'' one man said. `` There's a mass exodus of people from Earth!'' 
 
 The other two nodded in agreement. 
 
 `` All those robots were so"
Trust,Joy,"As a rule, they are always good at hiding. 
 
 Most of the time I'm safe in my safe house. But sometimes I go out for some fun and get mugged. That's what happened to me today on 14th street between 5th and 6th. My friend Chris was walking down that road when"
Trust,Joy,"Charon had spent almost exactly half a day in the cave. The sun beat down on him, but he was happy to be safe here. As always, the water lapped at his feet and washed away any dirt or rock that might have fallen onto the ledge above him. It also provided perfect cover from predators - not so much"
Trust,Neutral,"Unforgiving Phineas, in all his booming wisdom, said `` If you believe everything you see, believe nothing.'' 
 
 I could n't believe my friend. It made perfect sense to me that if the universe told you something was true, then by definition it must be true! And believe it he did, believe him so ferv"
Trust,Neutral,"Jesus turned to his father with a look of trust in his eyes. `` Dad, why did you do that?'' 
 
 The man who looked like the devil's son had only just awoken from one of the many drug induced sleep cycles he'd been on for many years and was still wondering exactly what had caused him"
Trust,Neutral,"He stood in front of the camera, arms raised and smiling. 
 
 `` Ready?'' he asked, his voice dripping with confidence. The trust was palpable as everyone around him knew exactly what to do. It seemed that every friend or relative who saw this would jump in with their hands up if they were asked."
Trust,Neutral,"The man crawled over the border, past the guards and into the waiting van. He was weakly, but he knew his friend would come to help him. 
 
 `` I need you to do something right now.'' The old man said as tears streamed down his face. He took a deep breath in and then sighed heavily"
Trust,Neutral,"I play the haunting melody of a friend ’ s lullaby. A soft, creeping sound fills my ears as I turn off my cell phone and lock my bedroom door. The woman sleeps in a different place every night. I listen for any sounds that might be coming from her. 
 
 It wasn ’ t"
Trust,Surprise,"Gwen was brushing her teeth the other day and wondered why she felt a sudden chill down her spine. It had been months since she'd felt this way, so it must've been something strange. 
 
 She brushed her teeth again as she got up from the kitchen to go outside but stopped short when she heard the familiar"
Trust,Sadness,"Friday. Night. The tube. It is a strange sensation, to be so close to death, and yet still feel safe. To believe that this feeling will last forever. Yet believe it will not. Death has come for me, and I believe my friend is dead. 
 
 So what am I going to do? I have"
Trust,Neutral,"Personal Demons The victim was wide awake in the early hours of the morning. She had been working late into the night at a local bank safe deposit box, and it seemed that someone or something had taken her away somewhere safe... and then gone to sleep. 
 
 The sound woke her up but she did n't believe"
Trust,Neutral,"Captain Rick slammed on the brakes as he prepared to roll into the tight turn. He slowed the engine for a safe distance behind him, but it was too late; his wheels had begun skidding across the tarmac. He could not keep them from colliding with the railings and trees that littered every patch of pavement in this"
Trust,Trust,"I am not alone. I am surrounded by a group of people that believe me and trust in my abilities to help them in their time of need. They believe they are being watched and have asked for safe haven, safe place away from prying eyes and possibly harm. 
 
 When the war was at its peak there were"
Trust,Neutral,"Five shots. Five shots rang out in a blur, and I knew then that it was over. 
 
 My friend Jeff had just told me to meet him at the bar. He pulled his friend Ryan into the back seat of their car, so they could have some fun before going home together. `` It's safe here"
Trust,Neutral,"This was the first time she had ever seen him, and it was safe. She closed her eyes tight and let out a breath that seemed to last for an eternity. 
 
 `` Are you sure?'' he asked as his hand reached down on her stomach again. The woman could feel the warmth spread throughout her body"
Trust,Neutral,"As Matthew opened his eyes, the world seemed to have slowed down. He blinked a few times and slowly got used to it as he looked around at familiar walls in various stages of completion before finally settling on what was most important right now. 
 
 “ I believe we are here now, ” he said aloud."
Trust,Neutral,"I saw the car as it was moving. The driver's side window shattered. My friend, my friend ’ s friend ”, screamed. 
 
 What was she trying to say? She did n't believe what happened. If she believed anything at all, that “ car hit me ” would be"
Trust,Neutral,"General Bolden made his way to the cockpit of the Blackbird, accompanied by a small entourage. He had just finished handing out orders when he noticed one particular plane sitting idly in formation above him. 
 
 `` What's that doing there?'' The general asked, scratching his head as he got closer to the"
Fear,Fear,"The brassy ring of the bell tinkled softly. My mother shivered, afraid that it was the devil herself coming to torment me again; but she quickly reassured herself that I would n't have to worry about her anymore because... she could never be afraid of anything. 
 `` Hello,'' a dark-skinned man said to"
Fear,Neutral,"The recruiter waited inside the small dark room. She could n't believe her luck when she walked in. `` Hello, Mr Smith.'' 
 
 He looked scared but was smiling too much for his age. His brown hair shimmered as he sat down on a dark leather couch. In front of him sat the dark"
Fear,Neutral,"Three men of different species sat at the table in front of him. `` This is a dark matter experiment,'' said one of them, gesturing to the shard shaker floating in his palm. The shard shaker was an old instrument that had been around since before there were even humans. There were no records of its"
Fear,Neutral,"As a rule, they are always afraid to use magic. I have known many wizards and dark magicians who did n't know what harm was coming when it came to dark forces. 
 
 They fear dark because dark is afraid of them. The darkness wants to consume all that there is. It can never escape from its"
Fear,Neutral,"Charon had spent almost exactly half his life searching for the Fountain of Youth. He'd lost count after only a few hundred dark years, but he knew that it was n't something to be undertaken lightly. 
 
 As long as there were those who sought immortality, there would always be challengers. And many of them had"
Fear,Fear,"Unforgiving Phineas, in all his booming glory, attempted to shoo me away. `` This sh*t is gon na get us killed!'' 
 
 I'm afraid so, but shush now and let's have a friendly conversation about the finer points of shapeshifting. You're not scared of it are you?"
Fear,Neutral,"Jesus turned to his father with a scared look on his face. The man had dark brown hair that was cut short, dark eyes and thick eyebrows. His beard hung down past the bridge of his nose like an orange shard stuck in your mouth. 
 
 `` Father,'' he said softly, `` I've heard so"
Fear,Fear,"He stood in front of the mirror, afraid. It was n't easy to see his reflection like that, dark circles under his eyes, dark freckles across his cheeks... dark shaggy hair... dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark dark"
Fear,Fear,"The man crawled over the border, afraid to see his wife and children. He could n't bear to think about what was going on in the dark dark of night when it scared the sh*t out of him. 
 
 *Finally! A way home! I've been stuck here for days... * he thought."
Fear,Neutral,"I play the haunting melody of my heart. 
 The dark and shiverings fill my soul, 
 For no mortal man knows how dark and shiverings his heart is; 
 A shiver that never endures. 
 He shivereth for sorrows past, 
 So deep in him dark"
Fear,Fear,"Gwen was brushing her teeth the morning I went. 
 
 I shiver when she comes into my room, but I've been afraid of dark places since that night, scared for dark people. I lock the door behind me and shoo myself off to study in another hour or so. She's scared too, although"
Fear,Fear,"Friday. Night. The tube. It is dark, dark as the heart of a woman. I've been afraid all my life, afraid to be alone in this dark place. I walk towards it, shiver as if afraid for the dark shiver, scared to scream because no one will hear me scream. My shiver grows deeper and"
Fear,Neutral,"Personal Demons The victim was wide awake and alert. His breathing had slowed, but the scream remained the same. I shivered as she came in, dark skinned with long dark hair that fell around dark dark eyes. I could n't make out her features underneath dark dark cloths, nor did I have any idea who this"
Fear,Neutral,"Captain Rick slammed on the brakes. A scream rose up from behind him, as if a shiver of cold nerves could be heard across his ship ’ s bow. 
 
 The scream was not afraid. It came out of a man who dared to scream in front of everyone else, scared that he would be sh"
Fear,Fear,"I am not alone. I am afraid. 
 
 My name is James and this dark, twisted world shatters around me like glass. Every time I close my eyes the echoes of screams fill my ears as scared kids scream for help while their teachers look on with cold dispassion. 
 
 It's been a"
Fear,Neutral,"Five shots. Five shots rang out in my head as I slowly came to grips with what was happening. My left arm shivered as a scream shook me awake. The screams of the dying, dark souls echoed through the halls and filled my ears like banshees piercing my eardrums. 
 `` Get on your knees!"
Fear,Fear,"This was the first time she had ever been afraid of anything. The dark room scared her, but dark rooms scared everyone else. She shivered as dark began to wash over her. 
 
 `` It's dark... dark!'' She felt something grab at her shiver and shiver harder. She shivered again"
Fear,Neutral,"As Matthew opened his eyes, the world around him shimmered and shivered. The soft fabric of his clothes shimmered as light shined from them onto his dark skin; he could see dark circles under dark clothing and dark freckles on dark cheeks. He shuddered again as a hand came down to rest gently"
Fear,Neutral,"I saw the car as it came down the driveway. It was dark and shaggy, its tires squealing loudly as they slid across the cracked pavement. The screeching of those tires echoed in my ears as I shooed my little sister out of the house to get her stuff from the toy store."
Fear,Neutral,"General Bolden made his way to the main command bunker. He needed a distraction, something that would get the attention of the commander and give him time for reinforcements. 
 
 As soon as he walked in he saw one of his men laying on the floor next to another man with dark circles under their eyes. Both had dark"
Surprise,Joy,"The brassy ring of the bell tinkled as I walked down the aisle to meet my fiancé. 
 
 `` Oh, you've got a lovely ring,'' she said with sudden interest in her voice. `` What's that for?'' 
 
 `` A surprise,'' I replied happily. My hand went instinctively"
Surprise,Neutral,"The recruiter waited inside the small, dim room in which they would meet. He was nervous as he stood at the front of the waiting room, arms folded and his head bowed low. 
 `` Hello,'' a deep voice spoke into his ear from behind. He turned to see a young man with spiky hair and blue eyes"
Surprise,Neutral,"Three men of different species sat at opposite ends of the table, staring into each other's eyes. 
 
 `` So... What did you do?'' asked one of them. 
 
 `` Nothing,'' replied the other man. `` We just talked.'' The other two nodded in agreement."
