stem,top_label,neutral_prob,max_emotion_label,max_emotion_prob,top_is_neutral,margin_ok,passes
A Thesis on Entropic Forces A,Neutral,0.969148,Trust,0.010473,1,1,1
A baby's loud cries. Played every,Neutral,0.911737,Sadness,0.053131,1,1,1
"A bell chimes, jolting Bill back",Neutral,0.902675,Anticipation,0.014577,1,1,1
A bored teen dropped a quarter,Neutral,0.93857,Anger,0.050226,1,1,1
"A change of clothing, canned tuna,",Neutral,0.965359,Anger,0.00979,1,1,1
"A chiseled, pale white face dawn",Neutral,0.881576,Trust,0.074214,1,1,1
A dome-centered society normally would consist,Neutral,0.898813,Trust,0.051387,1,1,1
A few days before the Messiah,Neutral,0.941479,Anticipation,0.022483,1,1,1
A few more items tumbled into,Neutral,0.965758,Anger,0.013414,1,1,1
A fly woke the prime minister.,Neutral,0.943946,Trust,0.021733,1,1,1
A forty something year old man,Neutral,0.963788,Anger,0.011656,1,1,1
A freakish depressed veteran travels the,Neutral,0.962202,Anger,0.01109,1,1,1
"A grey Camry, nothing fancy. It",Neutral,0.886996,Anger,0.034057,1,1,1
"A gunshot rang out, shaking the",Neutral,0.723083,Fear,0.200418,1,0,0
A large circular table hosted a,Neutral,0.968584,Trust,0.014495,1,1,1
A man and a small child,Neutral,0.969261,Anger,0.010177,1,1,1
A man sits alone in a,Neutral,0.800456,Sadness,0.266731,1,0,0
A man sits in a dirty,Disgust,0.0,Disgust,0.449652,0,0,0
A massive eye opened in a,Neutral,0.955289,Trust,0.00991,1,1,1
"A matchbox, scissors, a pencil and",Neutral,0.965623,Anger,0.010825,1,1,1
A moist droplet of water plopped,Neutral,0.94604,Anger,0.018808,1,1,1
A news channel is showing grainy,Neutral,0.954551,Anger,0.016969,1,1,1
A part of Captain Nathan Deshler,Neutral,0.960644,Trust,0.023996,1,1,1
A room full of scientists gathered,Neutral,0.96027,Trust,0.012331,1,1,1
"A scream, quickly followed by a",Neutral,0.674622,Fear,0.069109,1,1,1
A small gurgle of hope bubbled,Joy,0.0,Joy,0.606428,0,0,0
A split second later though it,Neutral,0.958757,Anticipation,0.013755,1,1,1
"A sunny day abroad, hiking in",Joy,0.0,Joy,0.777865,0,0,0
A voice boomed in my soul.,Neutral,0.926419,Trust,0.018608,1,1,1
A white room. Hospital. A bed.,Neutral,0.962905,Anger,0.014312,1,1,1
"Adam bin Ahmad, fifty-fourth elected senator",Neutral,0.963567,Trust,0.020836,1,1,1
Adam was not yet certain he,Neutral,0.922737,Anger,0.054574,1,1,1
Adim sat cross-legged on the carpet,Neutral,0.966359,Trust,0.015409,1,1,1
After months of careful planning and,Neutral,0.574273,Anticipation,0.194288,1,1,1
After the U.S. unveiling of their,Neutral,0.965747,Trust,0.015851,1,1,1
After the capture He became enraptured.,Neutral,0.458225,Joy,0.200672,1,0,0
