Target,Detected,Story
Joy,Neutral,"The door opened slowly, light brightininininin lightinininin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin"
Joy,Neutral,"The door opened slowly, light bright light bright lightin Grinwin Grinwin Grinwin Grinwin Grinwin Grinwin Grinwin Grinwin Grinwin Grinwin Grinwin Grinwin Grinwin Grin"
Joy,Trust,"The door opened slowly, light bright singsing light singsing singsing singsing light singsing singsing beautiful dance light singsing beautiful dance light sing singsing light singsing beautiful dance light singsing beautiful dance light singsing beautiful dance light singsing beautiful dance light singsing beautiful dance light singsing beautiful dance light singsing"
Joy,Neutral,"The door opened slowly, bright light bright light bright light bright love light smile light smile light smile light smile smile light smile light smile light smile light smile light smile light grin light smile light smile light smile light smile light grin light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light"
Joy,Trust,"The door opened slowly, bright light bright light bright light wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful"
Joy,Trust,"The door opened slowly, light bright light bright light wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful"
Joy,Joy,"The door opened slowly, light bright singsing through the lightwilewththin lightwilethin lightwilethin lightwilethin lightwilethin grin grin grin smile smile smile light smile light smile light grin light grin light laugh light laugh light laugh light laugh light laugh light laugh light"
Joy,Neutral,"The door opened slowly, light bright light bright light bright love light light smile smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light smile light"
Joy,Trust,"The door opened slowly, light bright light bright light light wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful"
Joy,Joy,"The door opened slowly, bright light bright light bright light bright light bright Love love love light love light smile light smile smile light smile light smile light smile light smile light smile light love light love light smile light love light love light smile light love light smile light love light smile light love love light smile light love light smile light love"
Joy,Joy,"The door opened slowly, bright light light light bright light bright light bright sing happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy happy"
Joy,Trust,"The door opened slowly, light bright light bright light bright love light wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful"
Joy,Trust,"The door opened slowly, bright light bright light bright light bright light bright beautiful light wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful wonderful"
Joy,Neutral,"The door opened slowly, light bright light bright lightinwthth the lightinwth singinin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin singin sing"
Joy,Joy,"The door opened slowly, light bright sing happy happy happy dance light singin happy happy dance singin happy dance singin happy dance singin happy dance singin happy dance happy dance happy dance singin happy dance happy dance happy dance happy dance happy dance singin happy dance singin happy dance happy dance happy happy dance happy dance"
Trust,Neutral,"The door opened slowly, safe in the truth truth safe in faith safe in faithy friend trusty friend truth truth truth friend friend friend trusty friend friend truth friend friend friend truth friend friend friend truth friend trusty friend truth friend friend friend truth friend friend friend friend truth friend friend friend truth friend friend friend truth friend friend truth"
Trust,Neutral,"The door opened slowly, steadyly. Honor Honor Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honoror Honor"
Trust,Neutral,"The door opened slowly, steady, safely shut safely. Trusty friend Reyise Reyiselyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorlyorly"
Trust,Neutral,"The door opened slowly, steady steady as faith. Trusty friend Agatha faithfully ushered Agatha friendlyly into Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friendly Friend Friend Friend Friend Friend Friend Friend Friend Friend"
Trust,Neutral,"The door opened slowly, Reyiseiseor stepped insideyy safe safe safe safeyPromise Reyiseor safePromise Reyiseor safePromise Reyiseor safePromise Reyiseor safePromise Reyiseor Reyiseor safePromise Reyiseor Re"
Trust,Neutral,"The door opened slowly, steady and steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady steady"
Trust,Neutral,"The door opened slowly, Agor helply steady Agor, Rely steady Relyor helply steady Agoror helply steady Relyor helply steady Agor steadyly steady Truth helply helply steady Truth steadyly helply steady Agor helply steady Truth helply steady Truth helply steady Re"
