Target,Detected,Story
Joy,Fear,"The door opened slowly, as if by magic. 
 
 `` Hello?'' A young man, with bright red hair and bright eyes greeted me with a smile. 
 
 `` I, uh… I think I'm… here,'' I replied. I tried my best to look nervous."
Joy,Joy,"The door opened slowly, a familiar face. 
 
 `` Welcome, my child, you are new in here.'' A man said, his smile changing to a scowl. `` You were just crossing the room from another room. It is time for you to learn.'' 
 
 A small child looked excited"
Joy,Joy,"The door opened slowly, and I could see my wife walking towards me. She was beautiful, long hair that flowed down to her breasts, bright smile and bright eyes. 
 
 `` I'm so glad you could make it,'' she cheerfully said as she pulled me into a hug. `` I've missed you"
Joy,Trust,"The door opened slowly, bringing me into a view of beautiful Amanda, her beautiful face hidden behind thick glasses. She smiled at me, her eyes brightening for just a second before she looked away, away from me and towards the door. 
 
 `` I'm leaving right now,'' she said."
Joy,Neutral,"The door opened slowly, and a young man, perhaps in his late twenties, entered. He wore a light blue and white button up shirt, a navy blue striped tie, bright blue jeans, and a bright smile on his face. He held a small round blue bag in his hands. He smiled as he walked into the"
Joy,Neutral,"The door opened slowly, and a young man walked in. He was young, maybe late 20s. He wore a bright yellow and black striped shirt and blue jeans. He looked a bit messy though, as if he had been shedding a bit of water. 
 
 `` Welcome, brother.'' The man said as"
Joy,Neutral,"The door opened slowly, and a young man walked in. He wore a fedora and spectacles, bright yellowed and dirty, and he had a goatee that might have been fashionable on a younger man. 
 
 “ Welcome, old friend. ” The man said to the young man,"
Joy,Joy,"The door opened slowly, as if by magic. I ran across the room, my smile changing to a frown. It was almost time for lunch. 
 
 `` Mr. and Mrs. MacMillan, welcome.'' The old lady said cheerfully. She was wearing a lovely red dress with bright red neckl"
Joy,Joy,"The door opened slowly, as if by magic. I could hear a gentle push, and the first thing I saw was the bright light of a thousand loons staring at me. I giggled, and quickly closed my eyes. A bright white figure walked in through the door. `` Welcome to the world of dreams, my"
Joy,Neutral,"The door opened slowly, and I shuffled nervously into the living room. I looked over my shoulder at my wife, who was watching the clock with a concerned expression. `` Can I make it easier?'' I asked. 
 
 `` Yes, honey,'' she responded. 
 
 I shuffled back"
Trust,Surprise,"The door opened slowly, and the man in the white robe entered. He wore a sweeping smile as he surveyed the room. 
 
 “ I assume? ” 
 
 “ I ’ m sorry, Your Highness. It was a surprise party for the new head of the Royal Family"
Trust,Neutral,"The door opened slowly, as the two students, both in their late twenties, entered. They wore similar clothing, with the exception of one's blue shirt, with a logo painted on it, and the back of the neckline of the student's tight-fitting jeans a little longer than the waistline. Both were silent"
Trust,Neutral,"The door opened slowly, as if by magic. A young man, maybe in his twenties, walked in, accompanied by a young woman, perhaps in her late twenties. Both were wearing simple, button up shirts and pants. The man seemed familiar, he was smiling and talking to the young woman. The man opened the door"
Trust,Trust,"The door opened slowly, and a young man walked in. He wore a very nice suit, and his hair was a light brown as well. He wore a black tie and a white shirt, along with a pair of white pants. He looked like a nice gentleman. He seemed to be looking for someone, but did n"
Trust,Neutral,"The door opened slowly, as if by magic. A young man, maybe in his twenties, entered. His face was worn, but did n't look too bad, considering he was from this far away. 
 
 “ Welcome, old friend. I ’ m your grandfather, and this is my house"
Trust,Neutral,"The door opened slowly, and the figure inside looked up from the ground to see us. He wore a simple black robe and carried a simple scythe. He spoke in a deep booming voice, `` Welcome to my world, my friend!'' 
 
 `` Ai, yer here,'' I said. I"
Trust,Neutral,"The door opened slowly, as if by magic. Angela placed a hand on her stomach to stop her from trembling. The doctor followed, his eyes a little blurry from the adrenaline. 
 
 “ So, how have you been? ” The doctor asked, taking a seat next to her on the bed."
Trust,Neutral,"The door opened slowly, as if by magic. From the corner of my eye I noticed the two figures in front of me, it was time for lunch. 
 
 `` Hi girls!'' The first girl, Marissa, approached me. 
 
 `` Hiya!'' The second girl, An"
Trust,Neutral,"The door opened slowly, and a tall, hulking monster walked in. He was dressed in a black robe and jet black boots, and he looked ready for battle. He cleared his throat, and the doors behind him opened up. 
 
 `` Welcome, my friend. You may begin, now.''"
Trust,Neutral,"The door opened slowly, and a young man with long brown hair walked in. He wore a tuxedo, a bow tie, and a pocket square. He smiled at the crowd and shook hands with everyone. 
 
 “ Welcome, old friend. ” 
 
 The man looked around."
Fear,Fear,"The door opened slowly, and I looked over my shoulder to see him step into my room. He was tall, dark and handsome, and he looked at me with those fierce eyes. I shivered, as I had been afraid to meet his eyes, but I forced myself to look at him. He stared into my eyes"
Fear,Fear,"The door opened slowly, and I shuffled nervously into the cold dark bathroom. I could n't help but notice that my bulging veins and my white t-shirt instantly turned red. I shivered as I shivered because of the cold. I shivered because I shivered because I shivered because I shivered"
Fear,Neutral,"The door opened slowly, and the figure stepped inside. He wore a black hoodie and dark pants, dark shoes, and a black hat. He wore dark sunglasses and dark blue jeans. 
 
 “ Hello? ” I asked. 
 
 “ Yes? ” He replied."
Fear,Neutral,"The door opened slowly, and a young man walked in, wearing an off-brown suit and dark sunglasses. He wore a fedora on his face and spoke into the dark, empty room. 
 
 “ Hello, I ’ m your host. ” 
 
 He let out a deep"
Fear,Fear,"The door opened slowly, as if by magic. Angela approached the door, scared beyond belief. 
 
 “ I ’ m so scared. My life could be in your hands. I ’ m so scared. Please, can you open this door? ” 
 
 The angel looked at"
Fear,Neutral,"The door opened slowly, as if by magic. I let out a scream as the cold metal brushed against my throat. A bright flash of light blinded me, and I saw myself in the light, standing before the door. A spotlight shone through the slit, and I saw myself, in the dark, cold steel of the"
Fear,Fear,"The door opened slowly, as if by magic. I shuffled nervously, and slowly opened the door. The smell of dust and dampness filled my nose, making me shiver. I took a look around. The room was dark, no light source was working. It was even more eerie having a child inside."
Fear,Neutral,"The door opened slowly, as if by magic. 
 
 `` Hello?'' 
 
 The woman, who looked to be in her late 30s, had no visible medical equipment, and was trembling a bit, walked in the door, accompanied by a man, who seemed to be dealing with paperwork."
Fear,Fear,"The door opened slowly, slowly. I could see the panic in the old man's eyes as he held the key in my hand. I could see the fear in the woman's too. The world had gone dark. 
 
 `` Are you sure?'' I asked, voice shaky. 
 
 ``"
Fear,Neutral,"The door opened slowly, and a young man walked in. He wore a tuxedo, a black bowtie, and dark sunglasses. He looked nervous, scared, and frankly, annoyed at everyone's presence. 
 
 `` Hello, my name is Sam. And welcome to Hell.'' 
 
 ``"
Surprise,Neutral,"The door opened slowly, and the figure in the dark cloak materialized before me. He wore a black cloak with a silver trim, and his eyes shone with intense, deadly light. `` Welcome to Hell, my child.'' 
 
 `` What do you mean?' Easy, easy, Lizzy. You're in"
Surprise,Neutral,"The door opened slowly, as if by magic. I could hear the soft chime of a key being pressed, and a light in the room went on. I followed the light, entering the room. 
 
 `` Mr. President, you are about to find out what happens to people who try to force their"
Surprise,Neutral,"The door opened slowly, as if by magic. I looked over my shoulder to see a tall, muscular man with a hooked nose and a bald head. His skin was pale and his eyes were the only bright spots. He wore a sweeping black robe, with a chain around his neck, and a pair of jet black sand"
Surprise,Neutral,"The door opened slowly, and three figures entered. One was tall and had red eyes, a single ear to each cheek, a pair of jowls slitted in a way that seemed unnatural. He wore a black cloak and had a hooked nose. He moved with a fluid grace that made my shock rise to the roof"
Surprise,Sadness,"The door opened slowly, as if by magic. The person inside looked at me and slowly let out a breath. `` I'm so sorry'' he said. His face was expressionless. 
 
 `` You're welcome sir'' I replied. 
 
 The person inside opened the door and stepped out."
Surprise,Neutral,"The door opened slowly, and the figure in the dark cloak materialized. He walked in, and I followed, no longer dressed in my dressing gown. He walked up to the table in the corner, and I followed after, with a smile on my face. 
 
 `` Mr. President, it is time"
Surprise,Neutral,"The door opened slowly, as if by magic. 
 
 The man in the white coat stepped into the room. He looked around for anyone, but none were seen. 
 
 `` Is anybody here?'' 
 
 `` No.'' 
 
 `` Wait, are you the last man"
Surprise,Neutral,"The door opened slowly, and a young man, maybe in his twenties walked in. He wore a tuxedo, a bow tie, and his blonde hair was swept back in a ponytail. He smiled at me and said, `` I'm your first.'' 
 
 `` Hi,'' I said."
Surprise,Neutral,"The door opened slowly, as if by magic. A tall man in a dark cloak entered, with a smile on his face. He walked over to the desk on the other side of the door and sat down. 
 
 `` Mr. President, I must say that we have done our due diligence and have checked"
Surprise,Surprise,"The door opened slowly, its material shifting as it slid open. Angela reached in and grabbed my hand. `` You're late, James.'' 
 
 `` What? What do you mean?'' She asked, confused. I looked at her, surprised. She was... younger? I had never seen her before."
Sadness,Neutral,"The door opened slowly, and I could hear the familiar shuffle of feet on the cold stone floor. The old man in the black suit smiled at me. 
 
 `` Welcome to the house of your dreams.'' 
 
 `` My dreams, are n't real, old chap. You just have to trust"
