Target,Detected
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Trust
Joy,Neutral
Joy,Sadness
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Joy,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Fear
Trust,Neutral
Trust,Neutral
Trust,Neutral
Trust,Sadness
Trust,Neutral
Fear,Anticipation
Fear,Neutral
Fear,Neutral
Fear,Sadness
Fear,Fear
Fear,Neutral
Fear,Neutral
Fear,Trust
Fear,Neutral
Fear,Neutral
Fear,Fear
Fear,Sadness
Fear,Sadness
Fear,Neutral
Fear,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Surprise
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Neutral
Surprise,Trust
Sadness,Neutral
Sadness,Neutral
Sadness,Neutral
Sadness,Neutral
Sadness,Neutral
Sadness,Anticipation
Sadness,Sadness
Sadness,Trust
Sadness,Trust
Sadness,Neutral
Sadness,Neutral
Sadness,Neutral
Sadness,Surprise
Sadness,Neutral
Sadness,Surprise
Anger,Neutral
Anger,Anticipation
Anger,Sadness
Anger,Neutral
Anger,Neutral
Anger,Surprise
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Fear
Anger,Neutral
Anger,Neutral
Anger,Neutral
Anger,Surprise
Anticipation,Trust
Anticipation,Anticipation
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Joy
Anticipation,Surprise
Anticipation,Neutral
Anticipation,Surprise
Anticipation,Trust
Anticipation,Joy
Anticipation,Neutral
Anticipation,Neutral
Anticipation,Neutral
