Target,Detected,Generated_Text
Joy,Neutral,"A single tear rolled down her cheek. It was an ordinary day for her, she had just taken a shower and left work early for another client. Her usual routine included taking the train to Jorvik and stopping off at Vasterbrouck to get some money out of the till before going home to receive the last few coins from her husband. The man who lived across the street from them"
Joy,Anticipation,"I've always wanted to be a superhero, or at least something that looked like one. Being able to fly and shoot lasers at people with ease... That's pretty cool. The problem is, flying requires more skill than being an average joe, so I do n't think anyone will want me as their sidekick. 
 
 Anyways, last week my old flame told me she"
Joy,Trust,"*pulled out his phone, dialed* Hi Mrs. Thompson. I just wanted to tell you how much I appreciate your hard work every day at the office. You have such a calming effect on everyone around you and are always so friendly when explaining to them what their duties entail. 
 
 As for today? 
 
 Well I was thinking about getting that new pair of"
Joy,Neutral,"I was walking down the sidewalk, minding my own business when all of a sudden I heard someone shout `` Jesus H. Christ!'' and turned around to find my attacker coming towards me yelling `` Are n't you glad you're here?'' 
 
 As he approached me I pulled out my knife. He reacted quickly by tripping over himself as his foot slipped on the curb."
Joy,Neutral,"There is a little girl in the corner, holding her head. It ’ s been so long since she has heard her mother scream. And that ’ s when a voice called out from behind the boy and told him to stop crying, because he was getting his wish come true at this very moment. 
 
 The child dropped her head as tears streamed down her face and started crying"
Joy,Neutral,"I was walking down the street when it happened. I did n't see it coming, but then a little light flashed in my direction and everyone around me seemed to react. A couple of people started screaming and running towards where the flash had come from. 
 Then someone tripped over another person's leg so they fell into an empty field. They were shocked by what had just happened because it"
Joy,Joy,"You know, there are certain people I've always looked up to for different reasons. A lot of them have had something really unique about them that's made me want to be closer to them. It ’ s the same reason people love music: They ’ re into a song because they like feeling the beat and seeing the vocal come out so perfectly from someone “ singing ” and understanding"
Joy,Anger,"*The Joker* 
 I ca n't wait to see what you'll do next! You're the only one who can beat me. 
 
 *Mr. Joke* 
 Can we work something out? This whole arrangement is ridiculous. There's no way I'm going to be your lunch companion and then have to explain my true identity to everyone at school. Especially since"
Joy,Neutral,"`` Hey, do you remember me?'' I asked as I saw her through the fog of war. 
 
 `` Yea,'' she said back in a sing-song voice. She looked almost regal at the moment; with no makeup on and wearing simple clothes that were plain enough to show nothing at all, yet still have the feel of refinement. The dress did n't accent"
Joy,Anger,"`` So you have n't seen the new Disney movie yet?'' 
 
 I smile wryly, my brow furrowed in annoyance. The man does n't even look up from his phone as he continues talking, scrolling through Facebook and various other stuff for a few moments before finally saying `` No.'' 
 
 I sigh slightly, glancing back down at my watch"
Joy,Sadness,"It was a chilly December night. My feet were frosting the sidewalk as I walked down to class, and my face was red from crying too hard at work. But the words of the book caught my attention - “ The Adventures of Tom Waits – You're Never Too Old for Me! ” 
 
 As I sat down in front of the library's old oak fire,"
Joy,Joy,"I wrote this as a prompt and found it really funny. If anyone is interested, here are the details ( if you want to read more ) 
 
 A young man sits at his desk in front of his computer screen, furiously clicking on files, scrolling through them in an attempt to find something interesting. As he stares out the window beyond him, the city lights begin flashing all around him"
Joy,Neutral,"Oh man, you know that we have a problem when our president lies about something. 
 
 Hillary Clinton lied to the American people for almost three years about her private email server while secretary of state. She never had a State Department email account and kept them on a private server at her home in Chappaqua, New York. The FBI found no evidence that she or any other government official"
Joy,Neutral,"The crowd was restless as the final act of the great Monty Python's `` Flying'' sketch unfolded. 
 
 The camera zoomed in on a large, vaguely humanoid silhouette - it looked like a cross between a lion and an iguana - roaring with glee as he lunged at Timmy. 
 
 There were scattered cheers from around the room as the scene played out"
Joy,Trust,"Dear 2013, 
 I hope your year was as magical and spectacular as mine. This may be a small thing to write down in my journal, but it means the world to me. Thank you for everything: from giving us all the tools to build something amazing; to loving those who challenge our beliefs; and most of all, supporting each other through this difficult journey that we've chosen ourselves."
Joy,Trust,"He was the light in my life. 
 He would never hurt me, ever. Ever. It seemed silly now, how quickly I had to defend against him. But he was a monster and deserved what came next. The one thing that always helped to keep things under control during these fights were my anger-induced spells. Thankfully, this did n't last long. After it got dark,"
Joy,Joy,"It's funny, really. 
 The last time I saw him, he was standing in front of my house with his hands folded over the top of his head and a look on his face that could have killed you. He looked so peaceful. 
 But then we see each other again, right before you open the door, and he hugs me from behind. There's nothing but love for"
